post_title;featured_image;stock_status
Мр 85;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Мр 85.jpg;instock
Мр 86;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Мр 86.jpg;instock
