Дж 20;sculpture_marble;мрамор;белый;140 см;300 кг;1200*650*150;мрамор
Дж 41;sculpture_marble;мрамор;белый;50 см;15 кг;500*250*250;мрамор
Дж 44;sculpture_marble;мрамор;белый;30 см;15 кг;300*300*500;мрамор
Дж 46;sculpture_marble;мрамор;белый;130 см;450 кг;1300*600*600;мрамор
Дж 47;sculpture_marble;мрамор;белый;110 см;300 кг;1100*850*450;мрамор
Дж 48;sculpture_marble;мрамор;белый;95 см;150 кг;950*450*400;мрамор
Дж 49;sculpture_marble;мрамор;белый;130 см;1000 кг;1300*1000*400;мрамор
Дж 51;sculpture_marble;мрамор;белый;130 см;500 кг;1300*900*80;мрамор
Мр 85;sculpture_marble;мрамор;"розовый; серый; кремовый; бело-полосчатый; серо-голубой.";130 см;590 кг;1100*600*150;мраморный памятник
Мр 86;sculpture_marble;мрамор;"розовый; серый; кремовый; бело-полосчатый; серо-голубой.";140 см;650 кг;1200*650*150;мраморный памятник
Дж 1;sculpture_granit;гранит;черный;140 см;600 кг;1200*1000*150;черный гранит
Дж 2;sculpture_granit;гранит;черный;140 см;400 кг;1200*1000*120;черный гранит
Дж 3;sculpture_granit;гранит Aurora ;коричневый;70 см;600 кг;700*600*120;коричневый гранит
Дж 5;sculpture_granit;гранит;черный;140 см;600 кг;1200*1000*150;черный гранит
Дж 8;sculpture_granit;гранит;черный;170 см;1000 кг;1500*1000*200;черный гранит
Дж 9;sculpture_granit;гранит;черный;230 см;1800 кг;2000*1150*300;черный гранит
Дж 10;sculpture_granit;гранит;черный;130 см;400 кг;1100*1300*120;черный гранит
Дж 11;sculpture_granit;гранит blue;синий;150 см;613 кг;1300*1000*120;синий гранит
Дж 12;sculpture_granit;гранит;черный;140см;250кг;1200*700*150;черный гранит
Дж 15;sculpture_granit;гранит Aurora ;коричневый;120 см;350 кг;1000*900*150; коричневый гранит
Дж 17;sculpture_granit;гранит;черный;130 см;1000 кг;1100*1100*150;черный гранит
Дж 19;sculpture_granit;гранит;черный;200 см;1000 кг;1600**820*400;черный гранит
Дж 21;sculpture_granit;гранит;черный;140 см;400 кг;1200*650*150;черный гранит
Дж 45;sculpture_granit;гранит;цветной;110 см;500 кг;1000*1200*400;гранит цветной
Дж 50;sculpture_granit;гранит;черный;130 см;350 кг;1300*900*80;черный гранит
Дж 52;sculpture_granit;гранит;черный;140 см;350 кг;1200*900*80;черный гранит
Дж 71;sculpture_granit;гранит;черный;94 см;170 кг;800*750*70;черный гранит
Дж 73;sculpture_granit;гранит;черный;105 см;350 кг;900*1000*150;черный гранит
Дж 77;sculpture_granit;гранит;черный;190 см;700 кг;1700*700*100;черный гранит
Дж 82;sculpture_granit;гранит;черный;140 см;590 кг;1200*650*150;черный гранит
Дж 106;sculpture_granit;гранит;черный;160 см;650 кг;1500*800*100;черный гранит
Дж 112;sculpture_granit;гранит;черный;170 см;490 кг;1500*700*90;черный гранит
Дж 122;sculpture_granit;гранит;черный;140 см;450 кг;1200*800*80;черный гранит
Дж 125;sculpture_granit;гранит;черный;190 см;1000 кг;1700*700*100;черный гранит
Дж 127;sculpture_granit;гранит;черный;140 см;360 кг;1200*600*80;черный гранит
Дж 128;sculpture_granit;гранит;черный;140 см;360 кг;1200*600*80;черный гранит
Дж 132;sculpture_granit;гранит;черный;140 см;360 кг;1200*600*80;черный гранит
Дж 136;sculpture_granit;гранит;черный;140 см;360 кг;1200*600*80;черный гранит
Дж 137;sculpture_granit;гранит;черный;140 см;360 кг;1200*600*80;черный гранит
