Ка 76;combined_memorials;Подставка 1500*250*150, Стела 1000*80, Вставка Д 400;450;0,15;136360
Ка 80;combined_memorials;Подставка 1500*250*150, Стела 1000*80, Вставки 450*350*100;470;0,15;114240
Ка 81;combined_memorials;Подставка 1600*200*150, Стела 1350*800*80, Подставка под крест 650*200*150, Крест 1000*500*60, Гробницы 1000*850*80, Гробница средняя 850*250*100;740;0,24;161560
Ка 82;combined_memorials;Стела 1300*700*120(80), Полка 1000*200*100 фаска R10, Малая тумба 550*150*150, Тумба 800*250*200, Цветник 1000/700*100*100, Надгробье 1000*550*50;670;0,22;214200
Ка 83;combined_memorials;Стела 1400*300*60, Стела 1200*700*80, Проставки 850*200*50, Подставка 1000*250*250, Цветник 950/700*130*80, Надгробие 1000*500*50;800;0,26;126000
Ка 84;combined_memorials;Стелы 110*550*80, Крест 1200*500*80, Подставка средняя 350*300*200, Подставка 600*200*150, Цветники 1000/550*80*80;650;0,21;192640
Ка 85;combined_memorials;Стела 110*550*60, Подставка 700*550*80, Цветная стела 105*600*80, Цветник 1200/700*80*100;390;0,13;139440
Ка 86;combined_memorials;Стела 1400*700*100, Стела 1100*50*80, Подставка 900*600*150, Цветник 1530*80*100, Цветник 1280*80*100, Цветник 900*80*100, Цветная подставка 730*350*120, Цветная подставка 550*350*100, Плитка 600*300*50;850;0,28;207200
Ка 87;combined_memorials;Стела 1400*700*80, Подставка 1250*280*150 фаска Н+, Столбы 1000*200*140, Арка 1060*530*140, Шар Д=170, Крест 400мм;740;0,25;253680
Ка 88;combined_memorials;Стела 1000*600*60, Крест 1100*550*100, Проставка 420*170*100, Подставка 1400*200*150;420;0,14;167720
Ка 89;combined_memorials;Стелла 1700*800*100 ( 2 шт.), Вставка под портрет 600*400*100 ( 2шт.), Подставка 1300*250*250 ( 2 шт.), Подставка средняя 800*250*250, Элемент цветника 650*130*50 ( 4 шт.), Цветник 900*80*50 ( 4 шт.), Цветник 600*80*50 ( 4 шт.), Элемент 2 цветника 700*300*50 ( 4 шт.), Полка подставка 1150*200*60 ( 2 шт.), Полка подставка под крест 740*190*150, Стела под вставку 1200*450*80 ( 2 шт.), Арка под крест 750*300*300, подставка под крестом (средняя 1000*700*150) , крест 1200*600*80;;;договорная
Ка 90;combined_memorials;Стела 500*500*100, Стела 900*500*80, Стела 1000*500*100, Подставка 800*500*200;455;0,15;161000
Ка 91;combined_memorials;Стела 940*500*80, Баян 500*500*250, Подставка 1020*500*80, Арка 820*410*140, Стойки 1190*160*140, Цветники 1100*270*100,1030*270*100,1100*550*100;1800;0,6;347200
Ка 92;combined_memorials;Стела под портрет 650*400*50, Цветник 1000/800*80*100, Подставка 1000*400*200, Стела 1700*250*120, Стела 1500*600*120;820;0,27;166600
Ка 93;combined_memorials;Столбы 1500*100*100, Стела 1500*600*80, Подставка 1000*250*300, Полка 1350*600*100 фаска Н,R, Полка 900*400*80, Подставка 1400*550*150 фаска Н+, Колонны Д 150*1800;1500;0,5;506800
Ка 94;combined_memorials;Стела 1100*450*80, Стела 1000*350*80, Подставка 795*450*150, Крест 350*200*50;300;0,1;75040
Ка 77;combined_memorials;Стела 1400*700*100, Стела 600*400*60, Подставка 800*200*200;350;0,12;98000
Ка 78;combined_memorials;Стела 1400*700*100, Стела 600*400*60, Подставка 800*200*200;350;0,12;98000
Ка 79;combined_memorials;Стела 1400*700*100, Стела 600*400*60, Подставка 800*200*200;350;0,12;98000
Ка 95;combined_memorials;Стела 1500*650*100, Стела 1300*500*100, Подставка 1300*300*150, Крест 800*380*60, Цветник 1000/1000*100*80;960;0,32;164920
