Подкатегория;Наименование;Характеристики ;;;;;;;;;;;;;;;;;;;;;;Размер памятника в комплекте;;;Цена;Цена фацета
;;Материал;Цвет;Полировка;Высота;Вес;Объём;Размер;Срок изготовления;Размер фракции;Единица измерения;Форма;Высота пролёта;Высота столба;Обивка;Закрутки;Ручки несущие;Лакировка;Форма;Фурнитура;Ручная резьба;Отделка;Крышка;Стелла (в/ш/т);Тумба (в/ш/т);Цветник (в/ш/т);;
granit_econom;Ме 514 100;гранит;черный;все стороны;114 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 50 × 5 см;55 × 15 × 14 см;100 × 8 × 5 см;17700;
granit_econom;Ме 607 100;гранит;черный;все стороны;114 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 50 × 5 см;55 × 15 × 14 см;100 × 8 × 5 см;16400;
granit_econom;Ме 608 100;гранит;черный;все стороны;114 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 50 × 5 см;55 × 15 × 14 см;100 × 8 × 5 см;16400;
granit_econom;Ме 237 80;гранит;черный;все стороны;94 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 45 × 5 см;50 × 15 × 14 см;90 × 8 × 5 см;16700;
granit_econom;Ме 239 80;гранит;черный;все стороны;94 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 45 × 5 см;50 × 15 × 14 см;90 × 8 × 5 см;16700;
granit_econom;Ме 513 80;гранит;черный;все стороны;94 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 45 × 5 см;50 × 15 × 14 см;90 × 8 × 5 см;16700;
granit_econom;Ме 514 80;гранит;черный;все стороны;94 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 45 × 5 см;50 × 15 × 14 см;90 × 8 × 5 см;17700;
standart;Ме 100 45 7 прямой;гранит;черный;все стороны;114 см;140 кг;;;10 дней;;;;;;;;;;;;;;;100 × 45 × 7 см;55 × 20 × 14 см;100 × 8 × 7 см;17900;
standart;Ме 24;гранит;черный;все стороны;154 см;150 кг;;;10 дней;;;;;;;;;;;;;;;140 × 50 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;26900;
standart;Ме 25;гранит;черный;все стороны;114 см;150 кг;;;10 дней;;;;;;;;;;;;;;;100 × 50 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;22800;
standart;Ме 29;гранит;черный;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;25200;
standart;Ме 30;гранит;черный;все стороны;124 см;150 кг;;;10 дней;;;;;;;;;;;;;;;110 × 55 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;26100;
standart;Ме 31 ВН;гранит;черный;все стороны;114 см;180 кг;;;10 дней;;;;;;;;;;;;;;;100 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;24400;
standart;Ме 37;гранит;черный;все стороны;114 см;180 кг;;;10 дней;;;;;;;;;;;;;;;100 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;24500;
standart;Ме 38 ВН;гранит;черный;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;25200;
standart;Ме 42;гранит;черный;все стороны;144 см;180 кг;;;10 дней;;;;;;;;;;;;;;;130 × 50 × 5 см;60 × 20 × 14 см;100 × 8 × 7 см;24200;
standart;Ме 46;гранит;черный;все стороны;124 см;150 кг;;;10 дней;;;;;;;;;;;;;;;110 × 55 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;24700;
standart;Ме 61;гранит;черный;все стороны;114 см;150 кг;;;10 дней;;;;;;;;;;;;;;;100 × 55 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;23400;
standart;Ме 65;гранит;черный;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;25200;
standart;Ме 66;гранит;черный;все стороны;114 см;150 кг;;;10 дней;;;;;;;;;;;;;;;100 × 55 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;23400;
standart;Ме 89 ВН;гранит;черный;все стороны;124 см;151 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;26200;
standart;Ме 124;гранит;черный;все стороны;134 см;220 кг;;;10 дней;;;;;;;;;;;;;;;120 × 80 × 7 см;80 × 20 × 14 см;100 × 8 × 7 см;36800;
standart;Ме 125;гранит;черный;все стороны;114 см;190 кг;;;10 дней;;;;;;;;;;;;;;;100 × 80 × 7 см;80 × 20 × 14 см;100 × 8 × 7 см;36800;
standart;Ме 130;гранит;черный;все стороны;225 см;300 кг;;;10 дней;;;;;;;;;;;;;;;200 × 45 × 10 см;130 × 30 × 20 см;130 × 10 × 10 см;137300;
standart;Ме 202;гранит;черный;все стороны;124 см;130 кг;;;10 дней;;;;;;;;;;;;;;;110 × 50 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;23900;
standart;Ме 206 ВН;гранит;черный;все стороны;114 см;180 кг;;;10 дней;;;;;;;;;;;;;;;100 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;24400;
standart;Ме 207;гранит;черный;все стороны;114 см;180 кг;;;10 дней;;;;;;;;;;;;;;;100 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;24400;
standart;Ме 218;гранит;черный;все стороны;114 см;150 кг;;;10 дней;;;;;;;;;;;;;;;100 × 55 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;23400;
standart;Ме 220;гранит;черный;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;29000;
standart;Ме 230;гранит;черный;все стороны;114 см;180 кг;;;10 дней;;;;;;;;;;;;;;;100 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;28700;
standart;Ме 231 ВН;гранит;черный;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;28800;
standart;Ме 232 ВН;гранит;черный;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;28800;
standart;Ме 233;гранит;черный;все стороны;124 см;150 кг;;;10 дней;;;;;;;;;;;;;;;110 × 55 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;27700;
standart;Ме 234 ВН;гранит;черный;все стороны;96 см;140 кг;;;10 дней;;;;;;;;;;;;;;;82 × 82 × 7 см;90 × 20 × 14 см;100 × 8 × 7 см;27700;
standart;Ме 235;гранит;черный;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;22500;
standart;Ме 236;гранит;черный;все стороны;114 см;150 кг;;;10 дней;;;;;;;;;;;;;;;100 × 55 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;27700;
standart;Ме 237;гранит;черный;все стороны;114 см;150 кг;;;10 дней;;;;;;;;;;;;;;;100 × 55 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;27700;
standart;Ме 239;гранит;черный;все стороны;114 см;150 кг;;;10 дней;;;;;;;;;;;;;;;100 × 55 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;27700;
standart;Ме 240;гранит;черный;все стороны;114 см;160 кг;;;10 дней;;;;;;;;;;;;;;;100 × 80 × 7 см;80 × 20 × 14 см;100 × 8 × 7 см;29900;
standart;Ме 242 ВН;гранит;черный;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;26500;
standart;Ме 246;гранит;черный;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;25200;
standart;Ме 247 ВН;гранит;черный;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;27600;
standart;Ме 251;гранит;черный;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 65 × 7 см;80 × 20 × 14 см;100 × 8 × 7 см;31400;
standart;Ме 253;гранит;черный;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 55 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;23400;
standart;Ме 502 ВН;гранит;черный;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;24800;
standart;Ме 503;гранит;черный;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 55 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;24700;
standart;Ме 505;гранит;черный;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;24700;
standart;Ме 512;гранит;черный;все стороны;124 см;170 кг;;;10 дней;;;;;;;;;;;;;;;110 × 55 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;25700;
standart;Ме 513;гранит;черный;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;27600;
standart;Ме 513 ВН;гранит;черный;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;27600;
standart;Ме 514;гранит;черный;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;25100;
standart;Ме 607;гранит;черный;все стороны;114 см;150 кг;;;10 дней;;;;;;;;;;;;;;;100 × 50 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;22400;
standart;Ме 608;гранит;черный;все стороны;114 см;150 кг;;;10 дней;;;;;;;;;;;;;;;100 × 50 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;22400;
standart;Ме 609;гранит;черный;все стороны;114 см;150 кг;;;10 дней;;;;;;;;;;;;;;;100 × 50 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;22800;
standart;Ме 614 ВН;гранит;черный;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 55 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;28400;
standart;Ме 700;гранит;черный;все стороны;124 см;150 кг;;;10 дней;;;;;;;;;;;;;;;110 × 55 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;25700;
standart;Ме 700 ВН;гранит;черный;все стороны;124 см;150 кг;;;10 дней;;;;;;;;;;;;;;;110 × 55 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;25300;
standart;Ме 701;гранит;черный;все стороны;114 см;180 кг;;;10 дней;;;;;;;;;;;;;;;100 × 65 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;24700;
standart;Ме 702;гранит;черный;все стороны;124 см;150 кг;;;10 дней;;;;;;;;;;;;;;;110 × 55 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;24800;
standart;Ме 704;гранит;черный;все стороны;114 см;190 кг;;;10 дней;;;;;;;;;;;;;;;100 × 45 × 5 см;60 × 20 × 14 см;100 × 8 × 7 см;29600;
standart;Ме 705;гранит;черный;все стороны;114 см;150 кг;;;10 дней;;;;;;;;;;;;;;;100 × 80 × 7 см;80 × 20 × 14 см;100 × 8 × 7 см;21100;
standart;Дж 22;гранит;черный;все стороны;115 см;74 кг;;;10 дней;;;;;;;;;;;;;;;100 × 60 × 6 см;60 × 15 × 15 см;100 × 8 × 5 см;39500;
standart;Дж 27;гранит;черный;все стороны;115 см;68 кг;;;10 дней;;;;;;;;;;;;;;;100 × 50 × 6 см;60 × 15 × 15 см;100 × 8 × 5 см;49500;
standart;Дж 37;гранит;черный;все стороны;145 см;220 кг;;;10 дней;;;;;;;;;;;;;;;130 × 60 × 8 см;60 × 15 × 15 см;100 × 8 × 5 см;70000;
standart;Дж 39;гранит;черный;все стороны;125 см;170 кг;;;10 дней;;;;;;;;;;;;;;;110 × 55 × 7 см;60 × 15 × 15 см;100 × 8 × 5 см;49000;
standart;Дж 42;гранит;черный;все стороны;125 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 55 × 7 см;60 × 15 × 15 см;100 × 8 × 5 см;27700;
standart;Дж 53;гранит;черный;все стороны;125 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 55 × 7 см;60 × 15 × 15 см;100 × 8 × 5 см;33700;
standart;Дж 54;гранит;черный;все стороны;125 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 55 × 7 см;60 × 15 × 15 см;100 × 8 × 5 см;31600;
standart;Дж 55;гранит;черный;все стороны;125 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 55 × 7 см;60 × 15 × 15 см;100 × 8 × 5 см;31600;
standart;Дж 56;гранит;черный;все стороны;125 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 55 × 7 см;60 × 15 × 15 см;100 × 8 × 5 см;31600;
standart;Дж 58;гранит;черный;все стороны;125 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 15 × 15 см;100 × 8 × 5 см;31600;
standart;Дж 61;гранит;черный;все стороны;125 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 15 × 15 см;100 × 8 × 5 см;31600;
standart;Дж 63;гранит;черный;все стороны;125 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 15 × 15 см;100 × 8 × 5 см;31600;
standart;Дж 66;гранит;черный;все стороны;125 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 15 × 15 см;100 × 8 × 5 см;31400;
standart;Дж 67;гранит;черный;все стороны;125 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 15 × 15 см;100 × 8 × 5 см;31600;
standart;Дж 69;гранит;черный;все стороны;105 см;250 кг;;;10 дней;;;;;;;;;;;;;;;90 × 110 × 7 см;130 × 15 × 15 см;100 × 8 × 5 см;63100;
standart;Дж 70;гранит;черный;все стороны;125 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 15 × 15 см;100 × 8 × 5 см;31600;
standart;Дж 75;гранит;черный;все стороны;125 см;220 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 15 × 15 см;100 × 8 × 5 см;70100;
standart;Дж 76;гранит;черный;все стороны;125 см;160 кг;;;10 дней;;;;;;;;;;;;;;;130 × 60 × 7 см;60 × 15 × 15 см;100 × 8 × 5 см;59200;
standart;Дж 80;гранит;черный;все стороны;125 см;240 кг;;;10 дней;;;;;;;;;;;;;;;130 × 70 × 10 см;80 × 15 × 15 см;100 × 8 × 5 см;68400;
standart;Дж 85;гранит;черный;все стороны;135 см;190 кг;;;10 дней;;;;;;;;;;;;;;;120 × 55 × 7 см;60 × 15 × 15 см;100 × 8 × 5 см;32100;
standart;Дж 86;гранит;черный;все стороны;125 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 15 × 15 см;100 × 8 × 5 см;30700;
standart;Дж 89;гранит;черный;все стороны;125 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 15 × 15 см;100 × 8 × 5 см;30600;
standart;Дж 90;гранит;черный;все стороны;125 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 15 × 15 см;100 × 8 × 5 см;49800;
standart;Дж 91;гранит;черный;все стороны;125 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 15 × 15 см;100 × 8 × 5 см;49800;
standart;Дж 108;гранит;черный;все стороны;125 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 15 × 15 см;100 × 8 × 5 см;50300;
standart;Дж 110;гранит;черный;все стороны;135 см;210 кг;;;10 дней;;;;;;;;;;;;;;;120 × 60 × 7 см;60 × 15 × 15 см;100 × 8 × 5 см;66300;
standart;Дж 143;гранит;черный;все стороны;135 см;200 кг;;;10 дней;;;;;;;;;;;;;;;120 × 60 × 7 см;60 × 15 × 15 см;100 × 8 × 5 см;50400;
standart;Ем 10;гранит;черный;все стороны;114 см;145 кг;;;10 дней;;;;;;;;;;;;;;;100 × 45 × 7 см;55 × 16 × 12 см;100 × 7 × 5 см;18500;
standart;Ем 23;гранит;черный;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;25000;
standart;Ем 29;гранит;черный;все стороны;114 см;180 кг;;;10 дней;;;;;;;;;;;;;;;100 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;25300;
standart;Ем 40;гранит;черный;все стороны;132 см;180 кг;;;10 дней;;;;;;;;;;;;;;;120 × 50 × 7 см;55 × 16 × 12 см;100 × 7 × 5 см;28800;
standart;Ем 42е;гранит;черный;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 7 × 5 см;29100;
standart;Ем 49е;гранит;черный;все стороны;122 см;150 кг;;;10 дней;;;;;;;;;;;;;;;110 × 50 × 7 см;55 × 16 × 12 см;100 × 7 × 5 см;27700;
standart;Ем 53;гранит;черный;все стороны;124 см;150 кг;;;10 дней;;;;;;;;;;;;;;;110 × 55 × 7 см;55 × 16 × 12 см;100 × 7 × 5 см;26500;
standart;Ем 55;гранит;черный;все стороны;114 см;150 кг;;;10 дней;;;;;;;;;;;;;;;100 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;25400;
standart;Ем 61е;гранит;черный;все стороны;124 см;150 кг;;;10 дней;;;;;;;;;;;;;;;110 × 55 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;30300;
standart;Ем 74;гранит;черный;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;28100;
standart;Ем 76;гранит;черный;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;28100;
standart;Ем 77;гранит;черный;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;28100;
standart;Ем 78;гранит;черный;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;28100;
standart;Ем 80;гранит;черный;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;25000;
standart;Ем 81;гранит;черный;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;25000;
standart;Ем 91;гранит;черный;все стороны;122 см;150 кг;;;10 дней;;;;;;;;;;;;;;;110 × 50 × 7 см;55 × 16 × 12 см;100 × 7 × 5 см;31400;
standart;Ем 92;гранит;черный;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;32500;
standart;Ем 94;гранит;черный;все стороны;134 см;170 кг;;;10 дней;;;;;;;;;;;;;;;120 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;31200;
standart;Ем 96;гранит;черный;все стороны;134 см;150 кг;;;10 дней;;;;;;;;;;;;;;;120 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;28300;
standart;Ем 99;гранит;черный;все стороны;144 см;170 кг;;;10 дней;;;;;;;;;;;;;;;120 × 50 × 7 см;55 × 16 × 12 см;100 × 7 × 5 см;26900;
standart;Ем 110;гранит;черный;все стороны;134 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;28800;
standart;Ем 112;гранит;черный;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;26700;
standart;Ме 80 40 5 прямой;гранит;черный;все стороны;94 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 40 × 5 см;50 × 15 × 14 см;100 × 8 × 5 см;12300;
standart;Ме 100 45 7 прямой;гранит;черный;все стороны;114 см;140 кг;;;10 дней;;;;;;;;;;;;;;;100 × 45 × 7 см;55 × 20 × 14 см;100 × 8 × 7 см;17900;
standart;Ме 120 60 8 прямой;гранит;черный;все стороны;134 см;130 кг;;;10 дней;;;;;;;;;;;;;;;120 × 60 × 8 см;70 × 20 × 14 см;120 × 10 × 7 см;39400;
standart;Ме 130 60 10 прямой;гранит;черный;все стороны;150 см;180 кг;;;10 дней;;;;;;;;;;;;;;;130 × 60 × 10 см;70 × 20 × 20 см;120 × 10 × 7 см;51000;
standart;Ме 150 60 10 прямой;гранит;черный;все стороны;170 см;200 кг;;;10 дней;;;;;;;;;;;;;;;150 × 60 × 10 см;70 × 20 × 20 см;120 × 10 × 7 см;58700;
standart;Ме 200 80 10 прямой;гранит;черный;все стороны;220 см;250 кг;;;10 дней;;;;;;;;;;;;;;;200 × 80 × 10 см;100 × 30 × 20 см;120 × 10 × 10 см;108000;
family;Ем 46 т эконом;гранит;темно-серый ;все стороны;82 см;130 кг;;;10 дней;;;;;;;;;;;;;;;70 × 90 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;20200;
family;Ем 65 т эконом;гранит;темно-серый ;все стороны;82 см;130 кг;;;10 дней;;;;;;;;;;;;;;;70 × 90 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;20200;
family;Ем 66 т эконом;гранит;темно-серый ;все стороны;82 см;130 кг;;;10 дней;;;;;;;;;;;;;;;70 × 90 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;20200;
family;Ем 86 т эконом;гранит;темно-серый ;все стороны;82 см;130 кг;;;10 дней;;;;;;;;;;;;;;;70 × 90 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;20200;
family;Ме 7 эконом;гранит;черный;все стороны;79 см;120 кг;;;10 дней;;;;;;;;;;;;;;;65 × 110 × 5 см;120 × 15 × 14 см;120 × 8 × 5 см;25500;
family;Ме 9 эконом;гранит;черный;все стороны;79 см;120 кг;;;10 дней;;;;;;;;;;;;;;;65 × 110 × 5 см;120 × 15 × 14 см;120 × 8 × 5 см;25500;
family;Ме 10 эконом;гранит;черный;все стороны;79 см;120 кг;;;10 дней;;;;;;;;;;;;;;;65 × 110 × 5 см;120 × 15 × 14 см;120 × 8 × 5 см;25500;
family;Ме 19 эконом;гранит;черный;все стороны;79 см;120 кг;;;10 дней;;;;;;;;;;;;;;;65 × 110 × 5 см;120 × 15 × 14 см;120 × 8 × 5 см;25500;
family;Ме 96 эконом;гранит;черный;все стороны;79 см;120 кг;;;10 дней;;;;;;;;;;;;;;;65 × 110 × 5 см;120 × 15 × 14 см;120 × 8 × 5 см;25500;
family;Ме 97 эконом;гранит;черный;все стороны;79 см;120 кг;;;10 дней;;;;;;;;;;;;;;;65 × 110 × 5 см;120 × 15 × 14 см;120 × 8 × 5 см;25500;
family;Ме 610 эконом;гранит;черный;все стороны;79 см;120 кг;;;10 дней;;;;;;;;;;;;;;;65 × 110 × 5 см;120 × 15 × 14 см;120 × 8 × 5 см;25500;
family;Ме 611 эконом;гранит;черный;все стороны;79 см;120 кг;;;10 дней;;;;;;;;;;;;;;;65 × 110 × 5 см;120 × 15 × 14 см;120 × 8 × 5 см;25500;
family;Ме 612 эконом;гранит;черный;все стороны;79 см;120 кг;;;10 дней;;;;;;;;;;;;;;;65 × 110 × 5 см;120 × 15 × 14 см;120 × 8 × 5 см;25500;
family;Ме 7 эконом 82 на 82;гранит;черный;все стороны;96 см;135 кг;;;10 дней;;;;;;;;;;;;;;;82 × 82 × 5 см;90 × 15 × 14 см;100 × 8 × 5 см;21800;
family;Ме 9 эконом 82 на 82;гранит;черный;все стороны;96 см;135 кг;;;10 дней;;;;;;;;;;;;;;;82 × 82 × 5 см;90 × 15 × 14 см;100 × 8 × 5 см;21800;
family;Ме 19 эконом 82 на 82;гранит;черный;все стороны;96 см;135 кг;;;10 дней;;;;;;;;;;;;;;;82 × 82 × 5 см;90 × 15 × 14 см;100 × 8 × 5 см;21800;
family;Ме 96 эконом 82 на 82;гранит;черный;все стороны;96 см;135 кг;;;10 дней;;;;;;;;;;;;;;;82 × 82 × 5 см;90 × 15 × 14 см;100 × 8 × 5 см;21800;
family;Дж 16 эконом 82 на 82;гранит;черный;все стороны;96 см;190 кг;;;10 дней;;;;;;;;;;;;;;;82 × 82 × 5 см;90 × 15 × 14 см;100 × 8 × 5 см;29900;
family;Дж 18 эконом 82 на 82;гранит;черный;все стороны;96 см;190 кг;;;10 дней;;;;;;;;;;;;;;;82 × 82 × 5 см;90 × 15 × 14 см;100 × 8 × 5 см;29900;
family;Дж 43 эконом 82 на 82;гранит;черный;все стороны;96 см;190 кг;;;10 дней;;;;;;;;;;;;;;;82 × 82 × 5 см;90 × 15 × 14 см;100 × 8 × 5 см;29900;
family;Дж 92 эконом 82 на 82;гранит;черный;все стороны;96 см;190 кг;;;10 дней;;;;;;;;;;;;;;;82 × 82 × 5 см;90 × 15 × 14 см;100 × 8 × 5 см;29900;
family;Дж 93 эконом 82 на 82;гранит;черный;все стороны;96 см;190 кг;;;10 дней;;;;;;;;;;;;;;;82 × 82 × 5 см;90 × 15 × 14 см;100 × 8 × 5 см;29900;
family;Дж 94 эконом 82 на 82;гранит;черный;все стороны;96 см;190 кг;;;10 дней;;;;;;;;;;;;;;;82 × 82 × 5 см;90 × 15 × 14 см;100 × 8 × 5 см;29900;
family;Дж 16 эконом;гранит;черный;все стороны;99 см;234 кг;;;10 дней;;;;;;;;;;;;;;;85 × 100 × 5 см;110 × 15 × 14 см;100 × 8 × 5 см;33400;
family;Дж 18 эконом;гранит;черный;все стороны;99 см;234 кг;;;10 дней;;;;;;;;;;;;;;;85 × 100 × 5 см;110 × 15 × 14 см;100 × 8 × 5 см;33400;
family;Дж 43 эконом;гранит;черный;все стороны;99 см;234 кг;;;10 дней;;;;;;;;;;;;;;;85 × 100 × 5 см;110 × 15 × 14 см;100 × 8 × 5 см;33400;
family;Дж 92 эконом;гранит;черный;все стороны;99 см;234 кг;;;10 дней;;;;;;;;;;;;;;;85 × 100 × 5 см;110 × 15 × 14 см;100 × 8 × 5 см;33400;
family;Дж 93 эконом;гранит;черный;все стороны;99 см;234 кг;;;10 дней;;;;;;;;;;;;;;;85 × 100 × 5 см;110 × 15 × 14 см;100 × 8 × 5 см;33400;
family;Дж 94 эконом;гранит;черный;все стороны;99 см;234 кг;;;10 дней;;;;;;;;;;;;;;;85 × 100 × 5 см;110 × 15 × 14 см;100 × 8 × 5 см;33400;
family;Ме 110а эконом;гранит;черный;все стороны;94 см;180 кг;;;10 дней;;;;;;;;;;;;;;;80 × 45 × 5 см;120 × 15 × 14 см;100 × 8 × 5 см;28400;
family;Ем 46 эконом;гранит;черный;все стороны;82 см;130 кг;;;10 дней;;;;;;;;;;;;;;;70 × 90 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;24000;
