Подкатегория;Наименование;Характеристики ;;;;;;;;;;;;;;;;;;;;;;Размер памятника в комплекте;;;Цена;Цена фацета
;;Материал;Цвет;Полировка;Высота;Вес;Объём;Размер;Срок изготовления;Размер фракции;Единица измерения;Форма;Высота пролёта;Высота столба;Обивка;Закрутки;Ручки несущие;Лакировка;Форма;Фурнитура;Ручная резьба;Отделка;Крышка;Стелла (в/ш/т);Тумба (в/ш/т);Цветник (в/ш/т);;
granit_econom;Ем 29 80 с БГП;гранит;светло-серый с плиткой;все стороны;92 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 40 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;10900;
granit_econom;Ем 48 80 с БГП;гранит;светло-серый с плиткой;все стороны;92 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 40 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;10900;
granit_econom;Ме 202 80 с БГП;гранит;светло-серый с плиткой;все стороны;94 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 45 × 5 см;50 × 15 × 14 см;90 × 8 × 5 см;10900;
granit_econom;Ме 607 80 с БГП;гранит;светло-серый с плиткой;все стороны;94 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 45 × 5 см;50 × 15 × 14 см;90 × 8 × 5 см;10900;
granit_econom;Ме 608 80 с БГП;гранит;светло-серый с плиткой;все стороны;94 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 45 × 5 см;50 × 15 × 14 см;90 × 8 × 5 см;10900;
granit_econom;Ем 18 80 т;гранит;темно-серый ;все стороны;92 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 40 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;11200;
granit_econom;Ем 19 80 т;гранит;темно-серый ;все стороны;92 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 40 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;11200;
granit_econom;Ем 41 80 т;гранит;темно-серый ;все стороны;92 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 40 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;11200;
granit_econom;Ем 48 80 т;гранит;темно-серый ;все стороны;92 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 40 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;11200;
granit_econom;Ем 20 80 т;гранит;темно-серый ;все стороны;92 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 45 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;11200;
granit_econom;Ем 23 80 т;гранит;темно-серый ;все стороны;92 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 45 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;11400;
granit_econom;Ем 29 80 т;гранит;темно-серый ;все стороны;92 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 45 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;11400;
granit_econom;Ем 39 80 т;гранит;темно-серый ;все стороны;92 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 45 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;11400;
granit_econom;Ем 42 80 т;гранит;темно-серый ;все стороны;92 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 45 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;11400;
granit_econom;Ем 55 80 т;гранит;темно-серый ;все стороны;92 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 45 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;11700;
granit_econom;Ем 56 80 т;гранит;темно-серый ;все стороны;92 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 45 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;11700;
granit_econom;Ем 57 80 т;гранит;темно-серый ;все стороны;92 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 45 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;11700;
granit_econom;Ем 58 80 т;гранит;темно-серый ;все стороны;92 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 45 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;11700;
granit_econom;Ем 10 80;гранит;черный;все стороны;92 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 40 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;12900;
granit_econom;Ем 13 80;гранит;черный;все стороны;92 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 40 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;12900;
granit_econom;Ем 19 80;гранит;черный;все стороны;92 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 40 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;12900;
granit_econom;Ем 20 80;гранит;черный;все стороны;92 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 45 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;12900;
granit_econom;Ем 28 80;гранит;черный;все стороны;92 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 40 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;12900;
granit_econom;Ем 29 80;гранит;черный;все стороны;92 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 45 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;12900;
granit_econom;Ем 42 80;гранит;черный;все стороны;92 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 45 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;12900;
granit_econom;Ем 48 80;гранит;черный;все стороны;92 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 40 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;12900;
granit_econom;Ем 55 80;гранит;черный;все стороны;92 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 45 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;14100;
granit_econom;Ме 80 40 5 прямой;гранит;черный;все стороны;94 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 40 × 5 см;50 × 15 × 14 см;100 × 8 × 5 см;12300;
granit_econom;Ме 30 80;гранит;черный;все стороны;94 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 45 × 5 см;50 × 15 × 14 см;90 × 8 × 5 см;13200;
granit_econom;Ме 38 80;гранит;черный;все стороны;94 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 45 × 5 см;50 × 15 × 14 см;90 × 8 × 5 см;13200;
granit_econom;Ме 46 80;гранит;черный;все стороны;94 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 45 × 5 см;50 × 15 × 14 см;90 × 8 × 5 см;13200;
granit_econom;Ме 202 80;гранит;черный;все стороны;94 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 45 × 5 см;50 × 15 × 14 см;90 × 8 × 5 см;13200;
granit_econom;Ме 223 80;гранит;черный;все стороны;94 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 45 × 5 см;50 × 15 × 14 см;90 × 8 × 5 см;13200;
granit_econom;Ме 225 80;гранит;черный;все стороны;94 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 45 × 5 см;50 × 15 × 14 см;90 × 8 × 5 см;13200;
granit_econom;Ме 501 80;гранит;черный;все стороны;94 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 45 × 5 см;50 × 15 × 14 см;90 × 8 × 5 см;13200;
granit_econom;Ме 607 80;гранит;черный;все стороны;94 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 45 × 5 см;50 × 15 × 14 см;90 × 8 × 5 см;13200;
